,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2
21098,-3.5179026,-1.090718,3.5070567,0.98305345,3.5070567,0.98305345,2.9677398,1.6946714,3.2307296,1.5102603,-3.619623,-1.6406554,-2.9373345,0.28905928
21099,-6.267173,-1.2298368,6.1006775,1.0075786,6.1006775,1.0075786,5.629267,2.7299707,5.91648,2.6227977,-5.3176208,-2.1181738,-3.9761753,0.85175264
21100,-3.3101768,0.42904836,3.325739,-0.41246912,3.325739,-0.41246912,3.209597,0.1698884,3.577518,0.81265277,-4.1353264,-2.6630347,-3.6900096,2.012963
21101,0.4099719,6.081325,-0.79684234,-5.69066,-0.79684234,-5.69066,1.607456,-5.74815,0.6027807,-6.9232926,0.7487819,0.763732,1.1201806,5.998802
21102,1.4569241,0.041582525,-1.4910024,0.31260562,-1.4910024,0.31260562,-1.4358293,-0.95515466,-0.95009965,1.7482734,-4.740542,-1.9662161,-3.066156,1.3800868
21103,-4.074445,0.5743817,3.9715235,-0.7649705,3.9715235,-0.7649705,4.5309362,0.20039594,4.2443132,0.4116413,-4.676223,-3.2103841,-4.3318787,2.4300053
21104,-6.614363,0.47257885,6.302324,-0.6562845,6.302324,-0.6562845,7.085725,1.319902,1.3915832,-5.8398523,-5.6469913,-2.8795185,-6.8030634,2.5554252
21105,-6.827347,0.09205334,6.713577,-0.2790672,6.713577,-0.2790672,6.939803,1.8306179,6.5835857,1.3908645,-6.6300244,-2.6427128,-6.892265,2.0381875
21106,-3.7611792,1.3808628,3.563473,-1.4530045,3.563473,-1.4530045,4.313598,-0.19360901,3.808839,-0.79133344,-4.402498,-3.7221658,-4.3869877,2.9767168
21107,0.95919025,6.3262086,-1.5150089,-5.9313865,-1.5150089,-5.9313865,1.0091534,-5.8304796,-0.21267766,-7.1140227,1.6808531,0.663474,-4.420491,2.3868785
21108,-6.394717,-1.2177042,6.173468,1.1278752,6.173468,1.1278752,5.8520555,2.813008,5.9830656,2.6560836,-6.0478535,-0.69339603,-5.0224733,0.13949867
21109,-3.9625032,0.7146465,3.6987865,-0.6269698,3.6987865,-0.6269698,3.998873,0.4044295,3.8446345,0.09976645,-4.16458,-3.0970924,-4.3982296,2.2133281
21110,-2.309452,0.14387685,2.3001401,-0.024782028,2.3001401,-0.024782028,2.6824706,0.26715815,3.0290697,0.52683955,-2.9693758,-2.6077678,-2.1874619,1.8261366
21111,-3.3629646,-0.38236117,3.41223,0.3775897,3.41223,0.3775897,3.290146,1.1079812,3.4963412,1.1494108,-3.9908888,-2.3437412,-3.0469248,1.295586
21112,-4.309418,0.81299806,3.9514058,-1.0476812,3.9514058,-1.0476812,4.578514,0.19357514,4.501632,0.026752934,-4.6321516,-3.3895736,-4.3084617,2.6344168
21113,-6.827016,0.01805287,6.628646,-0.14349969,6.628646,-0.14349969,6.934421,1.9015291,6.6220098,1.4130684,-6.082951,-2.4282181,-3.7943857,2.3553135
21114,-3.613972,-1.3642925,3.4562156,1.468125,3.4562156,1.468125,2.7850986,1.9650947,3.1405492,1.9059277,-3.8580837,-1.4878929,-3.5820177,0.027433706
21115,-4.5318894,-0.13279769,4.509336,-0.007071898,4.509336,-0.007071898,4.8117733,1.0455213,5.144513,1.2346431,-4.605393,-2.2425783,-4.073602,1.6601372
21116,-6.945371,0.31570664,6.6464314,-0.5014781,6.6464314,-0.5014781,7.124082,1.5860596,6.6082463,1.2971342,-6.6129413,-2.677155,-6.911431,2.4193828
21117,-3.2453654,0.5201625,3.214355,-0.52524424,3.214355,-0.52524424,3.312264,0.27325854,3.5449452,0.77420825,0.17035562,0.5182965,-3.3622158,2.192896
