ObjectNumber,FA1,FA2,FP,FT1,FT2,FTM,NA1,NA2,NP,NT1,NT2,NTM,RR,Class,GROUP,DAY,CONDITION,PERCENTAGE,EFFICIENCY,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2,DISH
96,73.448,26.552,468.776,249.52,2155.79,753.27,64,36,663.388,482.68,2622.95,1248.724,1.436,5,Day 1-100K,1,100K,0.62,Low,4.49193,6.0763855,-4.8749366,-5.6895437,-4.8749366,-5.6895437,-2.6485357,-6.650839,-3.7703063,-5.977498,4.0840454,1.5797508,3.5690947,-2.3376622,1
112,73.719,26.281,496.438,247.475,2218.368,763.771,65.577,34.423,708.375,428.043,2527.347,1148.537,1.432,5,Day 1-100K,1,100K,0.62,Low,4.457956,5.423088,-4.7825103,-4.967538,-4.7825103,-4.967538,-2.5595515,-5.841109,-3.2897162,-5.414873,3.873112,2.1894329,3.1958275,-2.4954433,1
147,72.777,27.223,580.136,249.673,2266.458,798.141,63.612,36.388,811.068,439.023,2663.106,1247.12,1.429,5,Day 1-100K,1,100K,0.62,Low,4.486168,6.2968807,-4.7912545,-6.073689,-4.7912545,-6.073689,-2.378676,-6.993114,-3.6320336,-6.371594,4.078566,1.3630322,3.8239565,-2.6615498,1
44,74.239,25.761,513.277,228.564,2178.711,730.083,65.383,34.617,718.631,475.742,2772.422,1265.729,1.425,5,Day 1-100K,1,100K,0.62,Low,4.585956,5.696034,-4.921419,-5.392342,-4.921419,-5.392342,-2.7833064,-6.1677213,-3.8777268,-5.7387767,4.2339587,1.6345578,3.4323487,-2.4752927,1
131,72.665,27.335,519.523,238.228,2218.159,778.525,67.091,32.909,740.955,450.016,2536.137,1135.965,1.424,5,Day 1-100K,1,100K,0.62,Low,4.3766785,5.024695,-4.661696,-4.8142223,-4.661696,-4.8142223,-2.440037,-5.6063485,-3.3087544,-5.319429,3.8613632,2.2106755,2.6013198,-2.3458452,1
82,73.822,26.178,445.568,268.868,2263.427,789.671,69.797,30.203,635.727,454.146,2696.394,1131.824,1.411,5,Day 1-100K,1,100K,0.62,Low,3.3806367,3.851044,-3.7927544,-3.577574,-3.7927544,-3.577574,-1.9278,-4.050537,-2.150678,-4.888185,3.4525635,2.3162348,1.6996615,-1.0737635,1
108,74.255,25.745,376,198.745,2085.312,684.136,67.808,32.192,529.8,512.597,2748.752,1222.012,1.411,5,Day 1-100K,1,100K,0.62,Low,3.6320698,4.577208,-3.7305357,-4.1582484,-3.7305357,-4.1582484,-1.892181,-5.0831776,-2.0326514,-5.3353596,3.5389884,2.2377,2.7330585,-1.7704899,1
151,73.257,26.743,487.844,267.501,2215.924,786.019,66.495,33.505,660.911,434.116,2636.867,1169.377,1.395,5,Day 1-100K,1,100K,0.62,Low,4.1014786,4.844302,-4.4519544,-4.6151013,-4.4519544,-4.6151013,-2.3281398,-5.354446,-3.0091941,-5.3262515,4.0392747,2.4201503,2.5612288,-2.1252084,1
60,73.057,26.943,494.907,242.248,2260.23,783.379,65.492,34.508,687.306,454.722,2636.252,1202.861,1.395,5,Day 1-100K,1,100K,0.62,Low,4.444391,5.6442,-4.833274,-5.2821774,-4.833274,-5.2821774,-2.4579666,-6.239033,-3.3763626,-5.824916,3.9589033,1.8839611,3.275695,-2.6107092,1
109,73.383,26.617,402.542,279.838,2198.456,786.494,70.135,29.865,524.525,422.006,2548.579,1050.392,1.388,4,Day 1-100K,1,100K,0.62,Low,2.9807131,2.987518,-3.297801,-2.7563126,-3.297801,-2.7563126,-1.7553418,-2.9168208,-0.9751599,-4.4191236,3.1821678,3.0573661,1.2183793,-0.34629932,1
158,73.824,26.176,556.049,220.024,2144.921,721.3,66.134,33.866,752.866,428.5,2725.756,1211.617,1.385,5,Day 1-100K,1,100K,0.62,Low,4.841018,5.543484,-5.1572723,-5.196429,-5.1572723,-5.196429,-2.9601717,-6.169996,-3.9271035,-5.501684,4.178104,2.043556,3.4573607,-2.9695296,1
116,73.037,26.963,479.681,282.371,2324.287,828.905,64.931,35.069,652.426,428.36,2474.03,1142.267,1.37,5,Day 1-100K,1,100K,0.62,Low,4.2104816,5.2735777,-4.5312357,-5.2624774,-4.5312357,-5.2624774,-2.1941738,-5.732665,-2.738757,-5.3269234,3.7724261,1.6658179,2.9821548,-2.2547147,1
54,73.043,26.957,527.8,250.818,2292.827,800.414,66.003,33.997,719.545,441.175,2656.847,1195.122,1.37,5,Day 1-100K,1,100K,0.62,Low,4.2777576,5.5685277,-4.6619167,-5.291474,-4.6619167,-5.291474,-2.357131,-6.173188,-3.2845001,-5.924003,3.7243822,1.853485,3.0932987,-2.60817,1
159,76.848,23.152,436,231.21,2266.452,702.552,63.322,36.678,627.452,440.62,2720.791,1254.961,1.365,5,Day 1-100K,1,100K,0.62,Low,4.8266697,5.9258366,-5.237002,-5.3943744,-5.237002,-5.3943744,-3.003717,-6.6196966,-3.9706752,-5.572668,3.9750507,1.8056616,3.8845034,-2.758367,1
80,72.74,27.26,512.864,244.117,2191.487,774.908,66.348,33.652,711.602,453.143,2692.313,1211.142,1.364,5,Day 1-100K,1,100K,0.62,Low,4.424247,5.3896837,-4.7196937,-5.103796,-4.7196937,-5.103796,-2.3526711,-5.9918036,-3.4066672,-5.683192,4.068662,2.0623338,2.98868,-2.4389915,1
90,73.153,26.847,550.346,237.671,2274.127,782.913,63.351,36.649,754.263,457.261,2627.865,1250.294,1.362,5,Day 1-100K,1,100K,0.62,Low,4.503863,6.21648,-4.861796,-5.9736967,-4.861796,-5.9736967,-2.4827337,-6.9705825,-3.6702836,-6.275998,4.10017,1.4459983,3.7744205,-2.5893645,1
5,74.183,25.817,482.305,263.212,2146.315,748.269,70.018,29.982,651.11,428.526,2557.142,1059.878,1.36,5,Day 1-100K,1,100K,0.62,Low,4.0432405,3.1977217,-4.306215,-2.9677253,-4.306215,-2.9677253,-2.7356827,-3.3630502,-2.2939236,-4.112346,4.0170846,3.6258936,1.6713156,-1.8059902,1
97,75.604,24.396,504.224,229.153,2235.249,715.793,62.949,37.051,676.612,471.463,2768.326,1312.402,1.352,5,Day 1-100K,1,100K,0.62,Low,4.805288,5.9954267,-5.111045,-5.610745,-5.111045,-5.610745,-3.1013873,-6.6783376,-4.0349703,-5.7064705,3.9724753,1.6067921,4.0114985,-2.7323236,1
59,74.655,25.345,459.209,228.972,2200.025,726.883,65.166,34.834,637.374,441.586,2639.403,1204.008,1.348,5,Day 1-100K,1,100K,0.62,Low,4.641503,5.4876137,-4.986188,-5.112329,-4.986188,-5.112329,-2.9006102,-6.024376,-3.6815128,-5.3261423,4.122973,2.031311,3.2047098,-2.5920806,1
62,73.637,26.363,505.591,247.33,2202.142,761.772,67.112,32.888,662.682,456.12,2707.751,1192.469,1.347,5,Day 1-100K,1,100K,0.62,Low,4.2847986,4.9910035,-4.5993557,-4.7568974,-4.5993557,-4.7568974,-2.4408329,-5.4840546,-3.2808437,-5.4844437,3.8895223,2.200222,2.6229606,-2.245211,1
162,73.312,26.688,542.112,251.444,2223.964,776.768,63.709,36.291,733.454,416.031,2568.198,1198.838,1.344,5,Day 1-100K,1,100K,0.62,Low,4.8548446,5.8754435,-5.1036625,-5.3395987,-5.1036625,-5.3395987,-2.6351025,-6.4550405,-3.6086688,-5.7974954,3.9515855,2.0165524,3.4969869,-2.861048,1
132,73.106,26.894,474.51,253.606,2242.308,786.754,67.557,32.443,661.412,429.421,2536.728,1114.524,1.335,5,Day 1-100K,1,100K,0.62,Low,3.8426197,4.414187,-4.23515,-4.058515,-4.23515,-4.058515,-2.1993368,-4.8230853,-2.66338,-4.970748,3.7497585,2.8110065,1.9491117,-1.7059131,1
63,73.613,26.387,514.957,250.864,2207.169,765.046,64.594,35.406,670.63,441.211,2566.163,1184.33,1.333,5,Day 1-100K,1,100K,0.62,Low,4.6479244,5.62409,-4.96933,-5.255511,-4.96933,-5.255511,-2.7780268,-6.247776,-3.6170056,-5.536635,4.0645156,1.9822551,3.199627,-2.7651422,1
